linear_idx,head,row,col,actual_bf16_hex,expected_bf16_hex,actual_float,expected_float,abs_err,row_error,out_last,pass
216,0,1,88,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
217,0,1,89,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
218,0,1,90,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
219,0,1,91,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
220,0,1,92,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
221,0,1,93,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
222,0,1,94,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
223,0,1,95,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
224,0,1,96,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
225,0,1,97,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
226,0,1,98,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
227,0,1,99,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
228,0,1,100,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
229,0,1,101,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
230,0,1,102,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
231,0,1,103,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
232,0,1,104,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
233,0,1,105,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
234,0,1,106,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
235,0,1,107,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
236,0,1,108,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
237,0,1,109,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
238,0,1,110,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
239,0,1,111,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
240,0,1,112,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
241,0,1,113,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
242,0,1,114,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
243,0,1,115,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
244,0,1,116,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
245,0,1,117,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
246,0,1,118,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
247,0,1,119,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
248,0,1,120,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
249,0,1,121,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
250,0,1,122,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
251,0,1,123,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
252,0,1,124,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
253,0,1,125,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
254,0,1,126,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
255,0,1,127,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,1,1
256,0,2,0,3eab,3eab,3.3398437500e-01,3.3398437500e-01,0.0000000000e+00,0,0,1
257,0,2,1,3eab,3eaa,3.3398437500e-01,3.3203125000e-01,1.9531250000e-03,0,0,1
258,0,2,2,3eab,3eab,3.3398437500e-01,3.3398437500e-01,0.0000000000e+00,0,0,1
259,0,2,3,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
260,0,2,4,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
261,0,2,5,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
262,0,2,6,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
263,0,2,7,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
264,0,2,8,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
265,0,2,9,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
266,0,2,10,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
267,0,2,11,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
268,0,2,12,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
269,0,2,13,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
270,0,2,14,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
271,0,2,15,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
272,0,2,16,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
