head,row,row_sum_actual,row_sum_expected,row_max_abs_err,row_fail_count,row_pass
2,63,1.0000000000e+00,9.9963378906e-01,6.1035156250e-05,0,1
2,64,9.9975585938e-01,1.0000000000e+00,6.1035156250e-05,0,1
2,65,9.9902343750e-01,9.9981689453e-01,6.1035156250e-05,0,1
2,66,1.0001831055e+00,9.9987792969e-01,1.8310546875e-04,0,1
2,67,1.0002441406e+00,1.0000610352e+00,6.1035156250e-05,0,1
2,68,9.9993896484e-01,9.9993896484e-01,1.2207031250e-04,0,1
2,69,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
2,70,1.0010375977e+00,1.0001831055e+00,6.1035156250e-05,0,1
2,71,1.0019531250e+00,1.0003662109e+00,6.1035156250e-05,0,1
2,72,9.9804687500e-01,9.9987792969e-01,6.1035156250e-05,0,1
2,73,1.0019531250e+00,1.0001831055e+00,1.8310546875e-04,0,1
2,74,9.9792480469e-01,9.9987792969e-01,6.1035156250e-05,0,1
2,75,1.0019531250e+00,1.0003662109e+00,6.1035156250e-05,0,1
2,76,1.0010375977e+00,1.0004882812e+00,6.1035156250e-05,0,1
2,77,9.9975585938e-01,1.0000000000e+00,6.1035156250e-05,0,1
2,78,1.0029296875e+00,9.9975585938e-01,6.1035156250e-05,0,1
2,79,1.0009765625e+00,1.0004272461e+00,6.1035156250e-05,0,1
2,80,9.9865722656e-01,9.9945068359e-01,6.1035156250e-05,0,1
2,81,1.0009765625e+00,1.0006103516e+00,6.1035156250e-05,0,1
2,82,1.0030517578e+00,9.9938964844e-01,6.1035156250e-05,0,1
2,83,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
2,84,1.0012817383e+00,1.0006103516e+00,6.1035156250e-05,0,1
2,85,9.9731445312e-01,1.0000000000e+00,6.1035156250e-05,0,1
2,86,9.9829101562e-01,9.9926757812e-01,6.1035156250e-05,0,1
2,87,9.9890136719e-01,9.9957275391e-01,6.1035156250e-05,0,1
2,88,9.9951171875e-01,9.9957275391e-01,6.1035156250e-05,0,1
2,89,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
2,90,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
2,91,9.9951171875e-01,9.9969482422e-01,6.1035156250e-05,0,1
2,92,9.9902343750e-01,9.9920654297e-01,6.1035156250e-05,0,1
2,93,9.9829101562e-01,9.9932861328e-01,6.1035156250e-05,0,1
2,94,9.9707031250e-01,1.0000610352e+00,1.2207031250e-04,0,1
2,95,9.9609375000e-01,1.0006103516e+00,6.1035156250e-05,0,1
2,96,1.0005493164e+00,1.0005493164e+00,0.0000000000e+00,0,1
2,97,9.9853515625e-01,1.0001220703e+00,1.8310546875e-04,0,1
2,98,1.0030517578e+00,1.0001220703e+00,6.1035156250e-05,0,1
2,99,1.0009765625e+00,1.0008544922e+00,6.1035156250e-05,0,1
2,100,9.9865722656e-01,9.9890136719e-01,6.1035156250e-05,0,1
2,101,9.9609375000e-01,1.0007324219e+00,6.1035156250e-05,0,1
2,102,9.9957275391e-01,9.9969482422e-01,6.1035156250e-05,0,1
2,103,1.0029296875e+00,1.0003051758e+00,6.1035156250e-05,0,1
2,104,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
2,105,9.9621582031e-01,1.0002441406e+00,1.2207031250e-04,0,1
2,106,9.9920654297e-01,9.9932861328e-01,6.1035156250e-05,0,1
2,107,1.0019531250e+00,1.0010986328e+00,6.1035156250e-05,0,1
